Date,Open,High,Low,Close,Volume
12/30/2016,"14.42","14.50","14.11","14.25","69,639,372"
12/29/2016,"14.57","14.61","14.27","14.31","60,674,582"
12/28/2016,"14.77","14.92","14.48","14.65","56,736,898"
12/27/2016,"14.33","14.82","14.29","14.64","88,736,071"
12/23/2016,"13.87","14.23","13.85","14.22","70,057,032"
12/22/2016,"13.88","14.00","13.77","13.90","46,666,668"
12/21/2016,"13.90","14.15","13.83","13.85","78,114,410"
12/20/2016,"13.54","13.93","13.50","13.92","70,336,122"
12/19/2016,"13.50","13.63","13.32","13.52","52,321,119"
12/16/2016,"13.21","13.51","13.17","13.50","56,953,393"
12/15/2016,"13.23","13.38","13.16","13.17","48,293,555"
12/14/2016,"13.25","13.53","13.12","13.25","62,263,969"
12/13/2016,"12.88","13.42","12.87","13.21","102,358,365"
12/12/2016,"12.85","12.96","12.74","12.83","36,583,178"
12/09/2016,"12.72","12.92","12.72","12.81","40,837,617"
12/08/2016,"12.80","12.83","12.64","12.82","47,912,269"
12/07/2016,"12.41","12.89","12.33","12.88","81,927,849"
12/06/2016,"12.37","12.44","12.18","12.39","50,874,382"
12/05/2016,"12.17","12.59","12.17","12.45","61,083,648"
12/02/2016,"12.19","12.33","12.00","12.10","60,634,922"
12/01/2016,"12.55","12.57","12.07","12.13","76,896,079"
11/30/2016,"12.73","12.79","12.50","12.63","53,206,615"
11/29/2016,"13.04","13.12","12.63","12.64","66,588,908"
11/28/2016,"13.03","13.29","12.97","13.07","67,937,800"
11/25/2016,"12.91","13.15","12.91","13.11","35,491,506"
11/23/2016,"12.71","13.04","12.60","12.88","73,378,470"
11/22/2016,"12.39","12.76","12.25","12.74","84,050,501"
11/21/2016,"12.34","12.59","12.29","12.30","65,415,697"
11/18/2016,"12.71","12.87","12.33","12.33","78,155,285"
11/17/2016,"12.23","12.63","12.14","12.58","73,306,065"
11/16/2016,"12.18","12.32","12.08","12.26","51,516,608"
11/15/2016,"12.19","12.43","12.14","12.25","58,530,330"
11/14/2016,"12.53","12.55","11.88","12.10","98,283,176"
11/11/2016,"12.28","12.59","12.20","12.57","59,827,621"
11/10/2016,"12.74","12.77","12.03","12.36","101,255,204"
11/09/2016,"12.46","12.80","12.26","12.67","122,596,086"
11/08/2016,"12.92","13.17","12.75","13.00","49,013,750"
11/07/2016,"12.91","12.95","12.67","12.88","58,051,740"
11/04/2016,"12.60","12.90","12.40","12.70","77,190,709"
11/03/2016,"12.60","12.76","12.47","12.49","39,795,386"
11/02/2016,"12.67","12.85","12.50","12.53","63,800,796"
11/01/2016,"13.20","13.23","12.54","12.72","105,900,649"
10/31/2016,"13.50","13.50","13.05","13.18","70,384,152"
10/28/2016,"13.60","13.69","13.32","13.33","64,202,166"
10/27/2016,"14.09","14.25","13.44","13.60","196,406,302"
10/26/2016,"13.40","13.55","13.34","13.48","84,492,702"
10/25/2016,"13.53","13.65","13.41","13.49","36,675,248"
10/24/2016,"13.40","13.60","13.35","13.52","41,273,472"
10/21/2016,"13.24","13.44","13.16","13.34","44,151,075"
10/20/2016,"13.47","13.53","13.14","13.27","76,093,218"
10/19/2016,"13.32","13.78","13.20","13.57","104,867,868"
10/18/2016,"13.07","13.30","12.88","13.27","85,207,213"
10/17/2016,"13.14","13.23","12.80","12.93","68,311,270"
10/14/2016,"13.38","13.43","13.09","13.10","64,047,816"
10/13/2016,"13.37","13.39","13.14","13.35","37,431,233"
10/12/2016,"13.40","13.59","13.36","13.43","29,560,365"
10/11/2016,"13.46","13.48","13.22","13.34","34,926,366"
10/10/2016,"13.42","13.61","13.31","13.40","49,744,506"
10/07/2016,"13.40","13.42","13.05","13.11","52,395,324"
10/06/2016,"13.50","13.61","13.35","13.40","70,551,087"
